ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Sappada;;;;;;;;;;;;;
Coordinata X 1784183 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5164164 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 1265 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2002;-8.7;-5.7;-3.2;-1.5;4.7;8.4;9.5;8.9;4.1;1.4;-0.2;-4.8;1.1
2003;-9.3;-11.7;-3.9;-1.6;4.2;10.1;9.5;10.8;3.6;-0.8;-1.5;-5.7;0.3
2004;-10.7;-6.6;-4.5;0.4;2;6.8;8.3;10;5.5;5;-2.8;-6.4;0.6
2005;-10;-11.3;-6.2;-0.5;4;7.8;8.8;8.5;6.9;2;-3.4;-9.7;-0.3
2006;-9.9;-7.8;-6.4;-0.9;3.7;6.9;10.7;7.2;7.2;3.7;-2;-4.6;0.6
2007;-5.1;-4.9;-3.5;1.3;5.2;9;8.4;8.7;3.9;0.9;-3.9;-7.1;1.1
2008;-5;-6;-4.2;-0.4;4.8;9;9.5;9.6;4.7;2.6;-2.3;-5.6;1.4
2009;-8;-8.4;-4.2;0.1;4.8;7.3;9.6;10.7;6.8;2;-1.5;-7.6;1
2010;-9.6;-7.7;-4.9;-0.6;5;7.9;10.3;9.4;5.2;0.6;-1.2;-8.6;0.5
2011;-7.7;-5.7;-3.8;0.7;3.4;8.4;8.8;10;8.4;1;-1.6;-5.8;1.3
2012;-9;-9.4;-1.6;0.3;4.3;9.1;10.3;10.8;6.7;2.6;-0.9;-7.8;1.3
2013;-6.2;-9.6;-3.9;1.1;3.8;6.7;10.6;8.8;6.3;4.3;-1.2;-4.2;1.4
2014;-4;-3.3;-2.8;0.5;3.6;7.5;9.6;8.8;7;4.3;2.5;-3.3;2.5
2015;-6.1;-5.5;-2.7;-0.5;5.5;8.3;11.8;10.7;5.4;2.3;-1.6;-4.1;2
2016;-6.8;-3.5;-3.2;0.7;3.9;8.5;9.8;8.8;8.2;1.8;-1.8;-4.6;1.8
2017;-10.3;-3.6;-1.2;-0.2;5.2;9.3;9.9;10.1;5;2;-3.7;-7.6;1.2
2018;-5.2;-9;-3.3;2;6.4;8.1;10.5;10.3;7.5;3.5;0.3;-5.3;2.2
2019;-7.9;-4.7;-3.2;1.2;2.5;10.5;10.7;11.4;7.3;4.6;0.2;-4.5;2.3
2020;-5.5;-3.7;-3.5;-0.1;4.6;8.6;10;11.1;7.2;2.4;-1.7;-4.6;2.1
2021;-9.7;-5.2;-5.1;-2.3;2.1;9.4;10.6;9.2;7.8;1.2;-1.4;-6.5;0.8
2022;-6.4;-5.4;-5.3;-0.7;6.8;10;11;10.5;6.2;4.9;-1.5;-4.8;2.1
Medio mensile;-7.8;-6.7;-3.8;-0.2;4.3;8.2;9.7;9.6;6;2.4;-2;-6.3;1
;;;;;;;;;;;;;
Il valore mensile è il valore medio delle minime giornaliere del mese.;;;;;;;;;;;;;
Il valore medio mensile è il valore medio dei valori mensili.;;;;;;;;;;;;;
